연번,회사명,면허대수,대표자, 주소(주사무소),전화번호
1,경일교통(주),42,강석호,서구 국채보상로 29(이현동),053-572-7800
2,구평기업(주),39,하장우,북구 침산로 56 1층,053-313-2016
3,군위택시(합명),8,박희일,군위군 군위읍 동부리 112-1,054-382-3803
4,극동자동차(주),55,"김동원,김상태",남구 현충로 117(대명동),053-652-1311
5,금성운수(주),64,"한재동,한대영",북구 노원로17길 22(노원동3가),053-353-1161
6,금영운수(주),59,서상교,동구 안심로65길 11,053-963-2010
7,금옥운수(주),70,"김인호,김병호",서구 북비산로 109,053-551-6001
8,네오택시협동조합,30,김호상,달성군 논공읍 노이길 176,053-623-1507
9,(주)뉴대우교통,54,김원일,달성군 화원읍 구라1길 57,053-742-9322
10,(주)뉴대우택시,55,김원일,달성군 화원읍 구라1길 57,053-623-5340
11,(주) 다온택시,33,기창현,달성군 다사읍 서재본4길 11,053-523-0033
12,달구벌협동조합택시,30,김영오,동구 반야월북로12길 33(율암동),053-982-3371
13,대교기업(주),58,김문희,동구 화랑로100길 139(용계동) ,053-955-7788
14,(주)대교운수,59,정병철,달서구 진천로3길 146,053-643-0684
15,대구택시협동조합,247,심경현,서구 국채보상로 35(이현동),053-632-5258
16,대기운수(주),42,"김진수,김대인",서구 와룡로70길 8,053-571-3700
17,대기택시협동조합,101,김진수,서구 와룡로70길 8,053-571-3700
18,대도교통(주),35,강석호,북구 노원로47길 3(침산동),053-356-2452
19,대도운수(주),60,"황하기,김준홍",달서구 구마로21길 11(본리동),053-526-7709
20,대동운수(주),57,김정국,동구 안심로65길 21-2,053-962-9988
21,대동택시(주),64,정재화,동구 안심로65길 13-1,053-963-0061
22,대성교통(주),73,황하기,동구 신평로 154-2(신평동),053-632-5268
23,대안택시(주),32,박종식,동구 안심로65길 21-1,053-963-3951
24,대우교통(주),31,김원일,달성군 화원읍 구라1길 57,053-742-9321
25,대우운수(주),61,김원일,달성군 화원읍 구라1길 57,053-623-5340
26,대일교통(주),68,이승훈,동구 화랑로100길 139,053-982-4417
27,대일기업(주),92,이승훈,달서구 진천로3길 146,053-761-0358
28,대일택시(주),37,박대명,동구 반야월북로 371(괴전동),053-761-0358
29,(주)대평교통,92,권병천,동구 신평로 149(신평동),053-982-6217
