,title,originallink,link,description,pubDate
0,[소부장 인사이트] 디지털 경제 생태계로 변화하는 로봇 산업,https://www.etnews.com/20240903000077,https://n.news.naver.com/mnews/article/030/0003236970?sid=105,"공공 데이터, 정보 웹 <b>크롤링</b> 기술 등을 이용해 수집하거나, 온라인 플랫폼 등으로부터 정보 트래킹 획득, 데이터 웨어하우스 구축을 통한 데이터 분석 및 예측 모델 등을 거래하고 있다. 중국은 44개의 데이터 거래소를... ","Tue, 03 Sep 2024 16:01:00 +0900"
1,"위어드섹터, '데이터 너겟' 분석 리포트 확인 기능 추가",http://news.mt.co.kr/mtview.php?no=2024083014050486989,https://n.news.naver.com/mnews/article/008/0005084704?sid=101,"특히 파이썬(Python)과 <b>크롤링</b> 기능으로 리포트를 최신화하고, 보다 분석적이고 근거 있는 자료로 리뉴얼한다. 위어드섹터 관계자는 &quot;사용자별로 담당 리포트를 구분할 수 있는 기능도 포함돼 개별 조직 또는 팀이 필요한... ","Mon, 02 Sep 2024 17:03:00 +0900"
2,[단독] ‘키스방 알리미’ 운영자 정체는 독실한 종교인?,https://h21.hani.co.kr/arti/society/society_general/56020.html,https://n.news.naver.com/mnews/article/036/0000050346?sid=102,키스방 알리미 운영자는 각종 성매매 알선 사이트에 올라와 있는 정보를 실시간으로 <b>크롤링</b>(데이터... 홍보물만 <b>크롤링</b>해서 텔레그램과 라인 등의 메신저 비밀대화방 유료회원들에게 알림을 보내는 형태였다. 그러다가... ,"Mon, 02 Sep 2024 07:26:00 +0900"
3,&quot;성 착취물 괜찮겠지라고? 알고리즘이 흔적 모읍니다&quot;,https://news.sbs.co.kr/news/endPage.do?news_id=N1007784241&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/055/0001186483?sid=102,'롤리타·칠드런' 등 아동 성범죄에서 자주 쓰이는 검색 키워드를 다크웹 <b>크롤링</b>을 통해 찾아내는 방식도 연구합니다. 김 교수는 &quot;범법자의 현실 정보가 나오지 않으면 쉽지 않은 과정이지만 실오라기 같은 단서라도... ,"Mon, 02 Sep 2024 06:50:00 +0900"
4,[단독] ‘출근 정보’까지 사고파는 성매매 창구 ‘키스방 알리미’,https://www.hani.co.kr/arti/society/society_general/1156418.html,https://n.news.naver.com/mnews/article/028/0002705436?sid=102,"모바일 기반 성구매 원스톱서비스 키스방 알리미들은 각종 성매매 알선 사이트에 올라와 있는 정보를 실시간으로 <b>크롤링</b>(데이터 끌어오기)해 알림을 보내는데, 성매매 여성들 출근 정보가 중심이고 예약 대행도... ","Mon, 02 Sep 2024 06:02:00 +0900"
5,[인터뷰] &quot;성 착취물 괜찮겠지라고? 알고리즘이 흔적 모읍니다&quot;,https://www.yna.co.kr/view/AKR20240830081500017?input=1195m,https://n.news.naver.com/mnews/article/001/0014904669?sid=105,'롤리타·칠드런' 등 아동 성범죄에서 자주 쓰이는 검색 키워드를 다크웹 <b>크롤링</b>을 통해 찾아내는 방식도 연구한다. 김 교수는 &quot;범법자의 현실 정보가 나오지 않으면 쉽지 않은 과정이지만 실오라기 같은 단서라도 찾는다는... ,"Sun, 01 Sep 2024 08:00:00 +0900"
6,[기고] 해외 데이터거래사업자의 현황과 데이터거래사의 의미,http://www.itdaily.kr/news/articleView.html?idxno=226529,http://www.itdaily.kr/news/articleView.html?idxno=226529,"『데이터 거래 및 유통 활성화를 위한 법제 연구』. 한국법제연구원, 연구보고 22-12 정준화·박소영. (2022). 데이터 개래 활성화를 위한 거래소·거래사·<b>크롤링</b>의 현황과 개선과제. 『NARS 현안분석』,제254,","Sun, 01 Sep 2024 01:40:00 +0900"
7,"[위클리오늘] 슈로더캐피탈, '기술·AI·바이오' 3대 테마에 집중 투자…...",http://www.weeklytoday.com/news/articleView.html?idxno=648242,http://www.weeklytoday.com/news/articleView.html?idxno=648242,이어 &quot;가이아가 내부 DB를 통해 투자 정보를 제공할 때 더욱 풍부한 정보를 제공할 수 있도록 외부의 정보도 끌어올 수 있는 웹<b>크롤링</b> 기능 등을 테스트하고 있다&quot;고 덧붙였다.,"Fri, 30 Aug 2024 17:52:00 +0900"
8,"'성 착취물' 딥페이크·다크웹 잡기 역부족, 왜?",https://www.ikbc.co.kr/article/view/kbc202408290011,https://n.news.naver.com/mnews/article/660/0000067740?sid=102,검색(<b>크롤링</b>)해도 찾아내기 어렵기 때문&quot;이라고 말했습니다. 보안당국 관계자도 &quot;아직은 기술보다 국제 공조 등을 통한 수사력이 더 절실히 필요한 부분&quot;이라고 언급했습니다. 영상 AI 설루션 스타트업 관계자는 &quot;구글이나... ,"Thu, 29 Aug 2024 08:13:00 +0900"
9,&quot;기술 있다지만 맘먹고 만든 딥페이크·다크웹 잡기 역부족&quot;,https://www.yna.co.kr/view/AKR20240828142200017?input=1195m,https://n.news.naver.com/mnews/article/001/0014899274?sid=105,검색(<b>크롤링</b>)해도 찾아내기 어렵기 때문&quot;이라고 말했다. 보안당국 관계자도 &quot;아직은 기술보다 국제 공조 등을 통한 수사력이 더 절실히 필요한 부분&quot;이라고 언급했다. 영상 AI 설루션 스타트업 관계자는 &quot;구글이나 메타... ,"Thu, 29 Aug 2024 07:00:00 +0900"
