월(Monthly),시도명,시군구,승용,승용,승용,승용,승합,승합,승합,승합,화물,화물,화물,화물,특수,특수,특수,특수,총계,총계,총계,총계,,,,,,,,,,,,,,,,,,,,,,,
월(Monthly),시도명,시군구,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,,,,,,,,,,,,,,,,,,,,,,,
Jul-24,서울,강남구,151,218,439,17,130,235,720,59,3,927,573,4,559,179,13,676,2,456,16,311,19,369,160,548,408,236,411,20,319,257,138,,,,,,,,,,,,
Jul-24,서울,강동구,110,131,523,4,941,136,574,41,3,272,684,3,997,145,11,918,2,534,14,597,7,223,210,440,303,146,936,8,369,155,608,,,,,,,,,,,,
Jul-24,서울,강북구,107,60,126,2,85,62,318,69,2,109,713,2,891,130,6,878,1,282,8,290,14,155,110,279,320,69,268,4,190,73,778,,,,,,,,,,,,
Jul-24,서울,강서구,135,167,613,9,282,177,30,44,4,190,1,310,5,544,167,16,296,4,276,20,739,16,430,260,706,362,188,529,15,128,204,19,,,,,,,,,,,
Jul-24,서울,관악구,89,99,321,3,29,102,439,45,2,993,345,3,383,143,9,47,2,223,11,413,12,183,176,371,289,111,544,5,773,117,606,,,,,,,,,,,,
Jul-24,서울,광진구,92,80,537,3,91,83,720,46,2,105,330,2,481,172,8,617,1,633,10,422,10,124,109,243,320,91,383,5,163,96,866,,,,,,,,,,,,
Jul-24,서울,구로구,108,115,501,9,627,125,236,62,3,972,586,4,620,127,13,825,2,640,16,592,7,338,165,510,304,133,636,13,18,146,958,,,,,,,,,,,,
Jul-24,서울,금천구,60,71,801,3,388,75,249,32,2,646,452,3,130,73,10,755,2,308,13,136,12,186,99,297,177,85,388,6,247,91,812,,,,,,,,,,,,
Jul-24,서울,노원구,84,129,615,5,612,135,311,56,3,311,766,4,133,175,9,797,2,166,12,138,12,271,259,542,327,142,994,8,803,152,124,,,,,,,,,,,,
Jul-24,서울,도봉구,92,76,504,4,643,81,239,48,2,274,588,2,910,129,7,931,2,55,10,115,12,187,162,361,281,86,896,7,448,94,625,,,,,,,,,,,,
Jul-24,서울,동대문구,102,84,586,2,909,87,597,54,2,564,132,2,750,131,9,748,2,202,12,81,10,200,99,309,297,97,98,5,342,102,737,,,,,,,,,,,,
Jul-24,서울,동작구,114,94,843,1,67,96,24,44,2,208,130,2,382,135,6,481,1,183,7,799,17,135,174,326,310,103,667,2,554,106,531,,,,,,,,,,,,
Jul-24,서울,마포구,94,101,922,4,255,106,271,55,2,516,635,3,206,182,9,262,2,212,11,656,21,242,539,802,352,113,942,7,641,121,935,,,,,,,,,,,,
Jul-24,서울,서대문구,210,77,718,3,414,81,342,105,2,3,401,2,509,140,5,821,1,802,7,763,7,148,107,262,462,85,690,5,724,91,876,,,,,,,,,,,,
Jul-24,서울,서초구,186,153,36,3,849,157,71,137,2,938,647,3,722,184,10,638,4,751,15,573,16,266,205,487,523,166,878,9,452,176,853,,,,,,,,,,,,
Jul-24,서울,성동구,131,82,387,8,886,91,404,46,1,806,988,2,840,177,8,208,1,875,10,260,19,191,102,312,373,92,592,11,851,104,816,,,,,,,,,,,,
Jul-24,서울,성북구,96,105,373,2,5,107,474,50,2,795,1,102,3,947,138,8,496,1,712,10,346,8,196,101,305,292,116,860,4,920,122,72,,,,,,,,,,,
Jul-24,서울,송파구,131,207,74,7,539,214,744,99,3,999,1,642,5,740,160,17,509,4,784,22,453,16,391,388,795,406,228,973,14,353,243,732,,,,,,,,,,,
Jul-24,서울,양천구,131,127,355,4,366,131,852,61,3,66,734,3,861,145,11,22,2,930,14,97,7,272,429,708,344,141,715,8,459,150,518,,,,,,,,,,,,
Jul-24,서울,영등포구,128,118,726,2,920,121,774,62,3,652,177,3,891,167,13,240,4,442,17,849,15,481,637,1,133,372,136,99,8,176,144,647,,,,,,,,,,,
Jul-24,서울,용산구,258,63,715,1,273,65,246,118,1,768,72,1,958,153,4,986,938,6,77,12,144,28,184,541,70,613,2,311,73,465,,,,,,,,,,,,,
Jul-24,서울,은평구,100,114,333,4,44,118,477,46,2,949,740,3,735,140,9,817,2,66,12,23,16,188,193,397,302,127,287,7,43,134,632,,,,,,,,,,,,
Jul-24,서울,종로구,1,654,39,418,237,41,309,1,533,1,447,249,3,229,339,3,632,1,561,5,532,107,88,95,290,3,633,44,585,2,142,50,360,,,,,,,,,,
Jul-24,서울,중구,301,41,533,1,655,43,489,856,1,753,229,2,838,176,5,238,1,189,6,603,18,275,101,394,1,351,48,799,3,174,53,324,,,,,,,,,,,
Jul-24,서울,중랑구,78,91,962,5,976,98,16,33,2,999,570,3,602,122,11,610,2,801,14,533,14,218,328,560,247,106,789,9,675,116,711,,,,,,,,,,,,
Jul-24,서울,계,4,742,2,654,961,117,223,2,776,926,3,801,69,262,14,795,87,858,3,929,244,448,60,21,308,398,424,5,901,5,236,11,561,12,896,2,974,572,197,275,3,184,743
Jul-24,부산,강서구,117,67,856,2,166,70,139,85,1,647,315,2,47,130,16,248,2,737,19,115,10,416,641,1,67,342,86,167,5,859,92,368,,,,,,,,,,,
Jul-24,부산,금정구,98,65,81,2,454,67,633,62,2,24,856,2,942,103,9,457,3,107,12,667,14,183,658,855,277,76,745,7,75,84,97,,,,,,,,,,,,
Jul-24,부산,기장군,80,74,239,832,75,151,49,2,29,540,2,618,121,10,815,1,298,12,234,12,243,215,470,262,87,326,2,885,90,473,,,,,,,,,,,,,
Jul-24,부산,남구,106,81,435,3,158,84,699,57,2,63,496,2,616,58,8,826,4,372,13,256,3,313,1,441,1,757,224,92,637,9,467,102,328,,,,,,,,,,
Jul-24,부산,동구,82,44,314,1,667,46,63,47,849,172,1,68,60,3,595,2,384,6,39,5,104,1,56,1,165,194,48,862,5,279,54,335,,,,,,,,,,,
Jul-24,부산,동래구,71,85,318,1,641,87,30,27,1,876,365,2,268,65,9,867,1,509,11,441,1,207,270,478,164,97,268,3,785,101,217,,,,,,,,,,,,
Jul-24,부산,부산진구,126,117,332,22,396,139,854,63,2,701,516,3,280,168,13,17,2,344,15,529,10,204,536,750,367,133,254,25,792,159,413,,,,,,,,,,,,
Jul-24,부산,북구,119,87,610,1,552,89,281,52,2,118,308,2,478,108,11,901,1,613,13,622,9,198,231,438,288,101,827,3,704,105,819,,,,,,,,,,,,
Jul-24,부산,사상구,94,67,114,2,424,69,632,57,2,74,242,2,373,102,14,269,2,311,16,682,9,222,322,553,262,83,679,5,299,89,240,,,,,,,,,,,,
Jul-24,부산,사하구,107,92,325,3,382,95,814,49,2,632,338,3,19,103,12,823,1,992,14,918,9,211,279,499,268,107,991,5,991,114,250,,,,,,,,,,,,
Jul-24,부산,서구,63,25,893,401,26,357,32,876,21,929,41,3,619,890,4,550,1,55,87,143,137,30,443,1,399,31,979,,,,,,,,,,,,,,,,
Jul-24,부산,수영구,51,56,727,62,134,118,912,24,1,407,839,2,270,81,5,496,1,366,6,943,11,154,366,531,167,63,784,64,705,128,656,,,,,,,,,,,,
Jul-24,부산,연제구,328,104,788,15,50,120,166,506,1,639,656,2,801,191,8,412,2,297,10,900,27,183,716,926,1,52,115,22,18,719,134,793,,,,,,,,,,,
Jul-24,부산,영도구,82,26,672,1,310,28,64,48,974,293,1,315,83,4,96,367,4,546,9,50,51,110,222,31,792,2,21,34,35,,,,,,,,,,,,,,
Jul-24,부산,중구,153,32,548,116,32,817,62,497,15,574,82,1,845,5,315,7,242,15,118,1,703,1,836,312,35,8,7,149,42,469,,,,,,,,,,,,,
Jul-24,부산,해운대구,136,149,839,9,942,159,917,56,2,972,249,3,277,129,13,59,2,175,15,363,9,311,473,793,330,166,181,12,839,179,350,,,,,,,,,,,,
Jul-24,부산,계,1,813,1,179,91,130,625,1,311,529,1,276,28,378,6,221,35,875,1,625,147,345,36,77,185,47,154,3,172,9,45,12,371,4,868,1,357,986,181,968,1,544,822
